source_reference_id,approval_source,proposed_product_id,business_line,product_name,brand_id,category_id,sale_price_cop,image_sha256,proposed_sku,proposed_catalog_code,proposed_slug,sku_resolution_status,catalog_code_resolution_status,slug_resolution_status,product_id_resolution_status,eligibility_status
CATV1-P015-R2R,HUMAN_APPROVED,20157dcb-5b42-3ba6-dcfd-c1bc84cfb0bf,BEAUTY_CARE,BRONCEADOR DE CHOCOLATE Y MIEL,03a73a7c-1a85-4429-b459-c68ad93c9664,,61000,cf10f2c64cd311475e87c266ca77e4fa9e21181f6ecd5fdffc5659dcece311a4,BC-20035,BCV5-0036,beauty-care-bronceador-de-chocolate-y-miel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P015-R3L,HUMAN_APPROVED,5506f491-2b39-a6ca-7862-bc61d8bee1fb,BEAUTY_CARE,BRONCEADOR AUTOBRONCEADORA,03a73a7c-1a85-4429-b459-c68ad93c9664,,71000,faf866a560417a35f0c182423dd8cff548b59b91ee237747eef6f44ea3f31990,BC-20036,BCV5-0037,beauty-care-bronceador-autobronceadora,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R1L,POLICY_APPROVED,59aacd81-d9ea-a1f9-fba3-b15005b59e5d,BEAUTY_CARE,SHAMPOO CEBOLLA,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,46000,faa6afb8eb03ea8eeff80abc56e6ae56f4d163c95faa87ab80c000200a861ba0,BC-20037,BCV5-0038,beauty-care-shampoo-cebolla-p017-r1l,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R1R,POLICY_APPROVED,a6c48be7-0e11-587a-3007-a28c0d8651c3,BEAUTY_CARE,ACOND.CEBOLLA,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,41000,c24a79a54d6b75885aef959cb566bc7011b2fac59cb303669e61ceff0dc6ca5c,BC-20038,BCV5-0039,beauty-care-acond-cebolla,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R2L,POLICY_APPROVED,edc554b0-3325-4039-d9fb-f6f9ad3d07fc,BEAUTY_CARE,TERAPIA CAPILAR,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,47000,6f97eab87395c47ba7303dcd23f06c81a32faaddd947874a51c3f036f24ab4dc,BC-20039,BCV5-0040,beauty-care-terapia-capilar,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R2R,POLICY_APPROVED,baf8a87c-c0c6-b399-e0b6-ee7defbe1544,BEAUTY_CARE,SHAMPOO ROMERO,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,46000,17d22299da067c8ca78986b302e904007a040d5449a307cf6a1f732bd056dbff,BC-20040,BCV5-0041,beauty-care-shampoo-romero-p017-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R3L,POLICY_APPROVED,630f71b8-1b29-0bd4-5ee7-9cf570a70218,BEAUTY_CARE,ACONDI. ROMERO,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,41000,19971dd346f085f7989cf71d919c2f653c28b22a53e9c51573d9526a418dfe3f,BC-20041,BCV5-0042,beauty-care-acondi-romero,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P017-R3R,POLICY_APPROVED,a4ad6905-d01e-1f8b-8c4f-781fd64a6097,BEAUTY_CARE,BIOTERAPIA CAPILAR,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,44000,feca0f4988ba6c801ecf45eef59f3849737e3b3b162402b7d7086c04d582c06c,BC-20042,BCV5-0043,beauty-care-bioterapia-capilar,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P018-R1L,POLICY_APPROVED,973fac55-1967-3b17-9f72-1c74a333f34c,BEAUTY_CARE,PONTENCIALIZADOR CAPILAR,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,46000,c5666e563b66a46f62dc8ca012acdbb02e7a6f7f7a9ce23e91cd35c43b22dcf0,BC-20043,BCV5-0044,beauty-care-pontencializador-capilar,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P018-R1R,POLICY_APPROVED,4a02b3ff-27fd-e5f5-5705-8d727f8ef8f4,BEAUTY_CARE,SHAMPOO COCTEL FRUTAS,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,41000,2bd8f235f05e36c84ff2d0928523238605d91985f78a44c2238f067f5807cf35,BC-20044,BCV5-0045,beauty-care-shampoo-coctel-frutas,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P018-R2L,POLICY_APPROVED,c6e6e472-8f99-850d-f923-95c05bedc639,BEAUTY_CARE,COCTEL DE FRUTAS,93f65203-1aaf-405d-9c6d-9e4c46b9b936,,51000,ca6943c9e618944e3252356295c9e766ea1b012d1b24f545bf93d2c47fdb1244,BC-20045,BCV5-0046,beauty-care-coctel-de-frutas,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
